#Engineering-Data-Exchange;;;;;;;;;;;;
PROJECT_NAME;"BDT";;;;;;;;;;;
VERSION_OF_REFERENCEFILE;1;;;;;;;;;;;
TIMESTAMP_OF_LAST_CHANGE;17.11.2025;;;;;;;;;;;
AUTHOR_OF_LAST_CHANGE;;;;;;;;;;;;
VERSION_OF_LAYOUT;2;;;;;;;;;;;
#mandatory;mandatory;mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional;optional
# keyname;device obj.-instance;object-name;object-type;object-instance;description;min-present-value;max-present-value;commandable;hi-limit;low-limit;state-text-reference;unit-code
"Trendlog(3010547)";504;"GTBQIDMCRC/MSTP1.FX41.AV-37.Tendance1";20;3010547;;;;N;;;;
"Trendlog(3010546)";504;"GTBQIDMCRC/MSTP1.FX41.AV-44.Tendance1";20;3010546;;;;N;;;;
"Trendlog(3010545)";504;"GTBQIDMCRC/MSTP1.FX41.AV-3.Tendance1";20;3010545;;;;N;;;;
"Trendlog(3010544)";504;"GTBQIDMCRC/MSTP1.FX40.AV-37.Tendance1";20;3010544;;;;N;;;;
"Trendlog(3010543)";504;"GTBQIDMCRC/MSTP1.FX40.AV-44.Tendance1";20;3010543;;;;N;;;;
"Trendlog(3010542)";504;"GTBQIDMCRC/MSTP1.FX40.AV-3.Tendance1";20;3010542;;;;N;;;;
"Trendlog(3010541)";504;"GTBQIDMCRC/MSTP1.FX39.AV-37.Tendance1";20;3010541;;;;N;;;;
"Trendlog(3010540)";504;"GTBQIDMCRC/MSTP1.FX39.AV-44.Tendance1";20;3010540;;;;N;;;;
"Trendlog(3010539)";504;"GTBQIDMCRC/MSTP1.FX39.AV-3.Tendance1";20;3010539;;;;N;;;;
"Trendlog(3010538)";504;"GTBQIDMCRC/MSTP1.FX35.AV-37.Tendance1";20;3010538;;;;N;;;;
"Trendlog(3010537)";504;"GTBQIDMCRC/MSTP1.FX35.AV-44.Tendance1";20;3010537;;;;N;;;;
"Trendlog(3010536)";504;"GTBQIDMCRC/MSTP1.FX35.AV-3.Tendance1";20;3010536;;;;N;;;;
